;ID_Pedido;Data_Pedido;ID_Representante;Nome_Representante;Regional;ID_Produto;Nome_Produto;Valor_Produto;Quantidade_Vendida;Valor_Total_Venda;Nome_Cliente;Cidade_Cliente;Estado_Cliente
;10032;06/01/2020;1004;Isabela Carolina;Sudeste;SKU9003;Celular Modelo 1;R$800;67;R$53.600;Ponto Frio;Campinas;SP
;10033;06/01/2020;1004;Isabela Carolina;Sudeste;SKU9012;Smart TV;R$1.998;17;R$33.966;Shoptime;Vitória;ES
;10034;07/01/2020;1008;Teobaldo Junior;Sudeste;SKU9002;Carregador Portátil;R$80;13;R$1.040;Magazine Luiza;São Paulo;SP
;10035;07/01/2020;1002;Lucas Souza;Sudeste;SKU9002;Carregador Portátil;R$80;28;R$2.240;Magazine Luiza;Vitória;ES
;10036;07/01/2020;1004;Isabela Carolina;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;87;R$126.150;kabum;Belo Horizonte;MINAS
;10037;07/01/2020;1009;Felipe Seixas;Sudeste;SKU9016;Webcam;R$130;34;R$4.420;Ricardo Eletro;Rio de Janeiro;RJ
;10038;08/01/2020;1002;Lucas Souza;Sudeste;SKU9008;Mouse;R$88;94;R$8.272;amazon;Betim;MINAS
;10039;08/01/2020;1006;Mário Junior;Sudeste;SKU9016;Webcam;R$130;29;R$3.770;Casas Bahia;São Paulo;SP
;10040;08/01/2020;1009;Felipe Seixas;Sudeste;SKU9003;Celular Modelo 1;R$800;10;R$8.000;amazon;Belo Horizonte;MINAS
;10041;08/01/2020;1001;Maria Silva;Sudeste;SKU9006;E-Reader;R$250;87;R$21.750;Casas Bahia;Campinas;SP
;10042;08/01/2020;1004;Isabela Carolina;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;34;R$49.300;Magazine Luiza;Rio de Janeiro;RJ
;10043;08/01/2020;1008;Teobaldo Junior;Sudeste;SKU9003;Celular Modelo 1;R$800;59;R$47.200;Magazine Luiza;Vitória;ES
;10044;09/01/2020;1001;Maria Silva;Sudeste;SKU9014;Tablet;R$1.700;96;R$163.200;kabum;Belo Horizonte;MINAS
;10045;09/01/2020;1005;Tais Fernandes;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;90;R$199.800;Ricardo Eletro;Guarapari;ES
;10046;09/01/2020;1008;Teobaldo Junior;Sudeste;SKU9016;Webcam;R$130;13;R$1.690;amazon;Betim;MINAS
;10047;09/01/2020;1003;Paulo Ferreira;Sudeste;SKU9014;Tablet;R$1.700;52;R$88.400;Shoptime;Campinas;SP
;10048;09/01/2020;1001;Maria Silva;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;34;R$146.200;Ponto Frio;Betim;MINAS
;10049;10/01/2020;1002;Lucas Souza;Sudeste;SKU9003;Celular Modelo 1;R$800;11;R$8.800;Ponto Frio;São Paulo;SP
;10050;10/01/2020;1008;Teobaldo Junior;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;65;R$144.300;Magazine Luiza;Rio de Janeiro;RJ
;10051;10/01/2020;1001;Maria Silva;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;67;R$288.100;Magazine Luiza;São Paulo;SP
;10052;10/01/2020;1005;Tais Fernandes;Sudeste;SKU9006;E-Reader;R$250;73;R$18.250;Carrefour;Betim;MINAS
;10053;11/01/2020;1008;Teobaldo Junior;Sudeste;SKU9005;Celular Modelo 3;R$1.800;91;R$163.800;Ponto Frio;Belo Horizonte;MINAS
;10054;11/01/2020;1003;Paulo Ferreira;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;67;R$97.150;Ponto Frio;Belo Horizonte;MINAS
;10055;11/01/2020;1008;Teobaldo Junior;Sudeste;SKU9015;Teclado ;R$80;46;R$3.680;Ponto Frio;Guarapari;ES
;10056;11/01/2020;1006;Mário Junior;Sudeste;SKU9012;Smart TV;R$1.998;46;R$91.908;Casas Bahia;Betim;MINAS
;10057;11/01/2020;1004;Isabela Carolina;Sudeste;SKU9016;Webcam;R$130;70;R$9.100;amazon;Guarapari;ES
;10058;11/01/2020;1007;Alex Souza;Sudeste;SKU9015;Teclado ;R$80;58;R$4.640;kabum;São Paulo;SP
;10059;11/01/2020;1007;Alex Souza;Sudeste;SKU9012;Smart TV;R$1.998;13;R$25.974;Carrefour;Rio de Janeiro;RJ
;10060;11/01/2020;1009;Felipe Seixas;Sudeste;SKU9015;Teclado ;R$80;13;R$1.040;Shoptime;São Paulo;SP
;10061;12/01/2020;1001;Maria Silva;Sudeste;SKU9016;Webcam;R$130;11;R$1.430;Magazine Luiza;Betim;MINAS
;10062;12/01/2020;1005;Tais Fernandes;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;11;R$24.420;Shoptime;Rio de Janeiro;RJ
;10063;12/01/2020;1009;Felipe Seixas;Sudeste;SKU9016;Webcam;R$130;88;R$11.440;Ricardo Eletro;São Paulo;SP
;10064;13/01/2020;1004;Isabela Carolina;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;8;R$11.600;amazon;Vitória;ES
;10065;13/01/2020;1004;Isabela Carolina;Sudeste;SKU9004;Celular Modelo 2;R$1.200;80;R$96.000;Ponto Frio;Rio de Janeiro;RJ
;10066;13/01/2020;1005;Tais Fernandes;Sudeste;SKU9015;Teclado ;R$80;57;R$4.560;Magazine Luiza;Niterói;RJ
;10067;13/01/2020;1009;Felipe Seixas;Sudeste;SKU9015;Teclado ;R$80;96;R$7.680;Shoptime;São Paulo;SP
;10068;13/01/2020;1007;Alex Souza;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;11;R$15.950;Carrefour;São Paulo;SP
;10069;13/01/2020;1009;Felipe Seixas;Sudeste;SKU9004;Celular Modelo 2;R$1.200;16;R$19.200;amazon;Belo Horizonte;MINAS
;10070;13/01/2020;1001;Maria Silva;Sudeste;SKU9006;E-Reader;R$250;72;R$18.000;Shoptime;Belo Horizonte;MINAS
;10071;14/01/2020;1003;Paulo Ferreira;Sudeste;SKU9007;Headphone;R$150;92;R$13.800;amazon;Belo Horizonte;MINAS
;10072;14/01/2020;1007;Alex Souza;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;56;R$81.200;Ricardo Eletro;Guarapari;ES
;10073;14/01/2020;1002;Lucas Souza;Sudeste;SKU9005;Celular Modelo 3;R$1.800;5;R$9.000;Shoptime;Guarapari;ES
;10074;14/01/2020;1007;Alex Souza;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;17;R$73.100;Casas Bahia;Rio de Janeiro;RJ
;10075;14/01/2020;1007;Alex Souza;Sudeste;SKU9003;Celular Modelo 1;R$800;45;R$36.000;Shoptime;Betim;MINAS
;10076;14/01/2020;1001;Maria Silva;Sudeste;SKU9002;Carregador Portátil;R$80;28;R$2.240;Carrefour;Campinas;SP
;10077;14/01/2020;1006;Mário Junior;Sudeste;SKU9002;Carregador Portátil;R$80;44;R$3.520;Carrefour;Belo Horizonte;MINAS
;10078;14/01/2020;1006;Mário Junior;Sudeste;SKU9005;Celular Modelo 3;R$1.800;98;R$176.400;amazon;Campinas;SP
;10079;14/01/2020;1009;Felipe Seixas;Sudeste;SKU9014;Tablet;R$1.700;75;R$127.500;Casas Bahia;Belo Horizonte;MINAS
;10080;14/01/2020;1007;Alex Souza;Sudeste;SKU9003;Celular Modelo 1;R$800;60;R$48.000;Carrefour;Rio de Janeiro;RJ
;10081;14/01/2020;1004;Isabela Carolina;Sudeste;SKU9013;SSD;R$435;21;R$9.135;amazon;Rio de Janeiro;RJ
;10082;15/01/2020;1004;Isabela Carolina;Sudeste;SKU9013;SSD;R$435;63;R$27.405;Ricardo Eletro;Rio de Janeiro;RJ
;10083;15/01/2020;1006;Mário Junior;Sudeste;SKU9006;E-Reader;R$250;21;R$5.250;Ricardo Eletro;Niterói;RJ
;10084;15/01/2020;1005;Tais Fernandes;Sudeste;SKU9005;Celular Modelo 3;R$1.800;53;R$95.400;Ponto Frio;Niterói;RJ
;10085;15/01/2020;1003;Paulo Ferreira;Sudeste;SKU9012;Smart TV;R$1.998;86;R$171.828;Magazine Luiza;Belo Horizonte;MINAS
;10086;15/01/2020;1008;Teobaldo Junior;Sudeste;SKU9016;Webcam;R$130;22;R$2.860;Ricardo Eletro;Niterói;RJ
;10087;15/01/2020;1009;Felipe Seixas;Sudeste;SKU9008;Mouse;R$88;80;R$7.040;Magazine Luiza;São Paulo;SP
;10088;16/01/2020;1006;Mário Junior;Sudeste;SKU9005;Celular Modelo 3;R$1.800;30;R$54.000;kabum;Betim;MINAS
;10089;16/01/2020;1003;Paulo Ferreira;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;51;R$219.300;kabum;Vitória;ES
;10090;16/01/2020;1005;Tais Fernandes;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;90;R$199.800;Casas Bahia;São Paulo;SP
;10091;16/01/2020;1007;Alex Souza;Sudeste;SKU9005;Celular Modelo 3;R$1.800;60;R$108.000;Ponto Frio;Belo Horizonte;MINAS
;10092;16/01/2020;1001;Maria Silva;Sudeste;SKU9006;E-Reader;R$250;98;R$24.500;Shoptime;Guarapari;ES
;10093;16/01/2020;1009;Felipe Seixas;Sudeste;SKU9003;Celular Modelo 1;R$800;62;R$49.600;amazon;Belo Horizonte;MINAS
;10094;17/01/2020;1002;Lucas Souza;Sudeste;SKU9003;Celular Modelo 1;R$800;26;R$20.800;Shoptime;Vitória;ES
;10095;17/01/2020;1001;Maria Silva;Sudeste;SKU9001;Caixa de Som;R$55;98;R$5.390;Ricardo Eletro;Betim;MINAS
;10096;17/01/2020;1009;Felipe Seixas;Sudeste;SKU9008;Mouse;R$88;77;R$6.776;Casas Bahia;Vitória;ES
;10097;17/01/2020;1005;Tais Fernandes;Sudeste;SKU9006;E-Reader;R$250;36;R$9.000;Ricardo Eletro;Betim;MINAS
;10098;17/01/2020;1006;Mário Junior;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;54;R$78.300;Ricardo Eletro;Campinas;SP
;10099;18/01/2020;1001;Maria Silva;Sudeste;SKU9006;E-Reader;R$250;46;R$11.500;Casas Bahia;Vitória;ES
;10100;18/01/2020;1008;Teobaldo Junior;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;74;R$164.280;amazon;Rio de Janeiro;RJ
;10101;18/01/2020;1001;Maria Silva;Sudeste;SKU9014;Tablet;R$1.700;54;R$91.800;kabum;Belo Horizonte;MINAS
;10102;18/01/2020;1001;Maria Silva;Sudeste;SKU9003;Celular Modelo 1;R$800;66;R$52.800;Shoptime;Betim;MINAS
;10103;18/01/2020;1001;Maria Silva;Sudeste;SKU9012;Smart TV;R$1.998;59;R$117.882;Shoptime;Rio de Janeiro;RJ
;10104;18/01/2020;1001;Maria Silva;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;84;R$186.480;Casas Bahia;Rio de Janeiro;RJ
;10105;19/01/2020;1009;Felipe Seixas;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;63;R$91.350;kabum;Vitória;ES
;10106;19/01/2020;1003;Paulo Ferreira;Sudeste;SKU9015;Teclado ;R$80;15;R$1.200;Ricardo Eletro;Campinas;SP
;10107;19/01/2020;1008;Teobaldo Junior;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;85;R$123.250;Casas Bahia;Vitória;ES
;10108;19/01/2020;1009;Felipe Seixas;Sudeste;SKU9006;E-Reader;R$250;45;R$11.250;Carrefour;Campinas;SP
;10109;20/01/2020;1003;Paulo Ferreira;Sudeste;SKU9014;Tablet;R$1.700;21;R$35.700;Magazine Luiza;Belo Horizonte;MINAS
;10110;20/01/2020;1002;Lucas Souza;Sudeste;SKU9005;Celular Modelo 3;R$1.800;85;R$153.000;Shoptime;Campinas;SP
;10111;20/01/2020;1009;Felipe Seixas;Sudeste;SKU9016;Webcam;R$130;99;R$12.870;Shoptime;Guarapari;ES
;10112;20/01/2020;1003;Paulo Ferreira;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;84;R$121.800;Ponto Frio;Belo Horizonte;MINAS
;10113;20/01/2020;1001;Maria Silva;Sudeste;SKU9008;Mouse;R$88;50;R$4.400;amazon;São Paulo;SP
;10114;21/01/2020;1003;Paulo Ferreira;Sudeste;SKU9007;Headphone;R$150;18;R$2.700;amazon;Niterói;RJ
;10115;21/01/2020;1004;Isabela Carolina;Sudeste;SKU9012;Smart TV;R$1.998;77;R$153.846;Carrefour;Niterói;RJ
;10116;21/01/2020;1003;Paulo Ferreira;Sudeste;SKU9004;Celular Modelo 2;R$1.200;21;R$25.200;kabum;Rio de Janeiro;RJ
;10117;21/01/2020;1002;Lucas Souza;Sudeste;SKU9012;Smart TV;R$1.998;10;R$19.980;amazon;Rio de Janeiro;RJ
;10118;21/01/2020;1005;Tais Fernandes;Sudeste;SKU9012;Smart TV;R$1.998;90;R$179.820;Carrefour;Vitória;ES
;10119;22/01/2020;1005;Tais Fernandes;Sudeste;SKU9002;Carregador Portátil;R$80;20;R$1.600;Casas Bahia;Betim;MINAS
;10120;22/01/2020;1009;Felipe Seixas;Sudeste;SKU9008;Mouse;R$88;71;R$6.248;Magazine Luiza;Guarapari;ES
;10121;22/01/2020;1002;Lucas Souza;Sudeste;SKU9013;SSD;R$435;70;R$30.450;kabum;Rio de Janeiro;RJ
;10122;23/01/2020;1007;Alex Souza;Sudeste;SKU9013;SSD;R$435;86;R$37.410;amazon;Rio de Janeiro;RJ
;10123;23/01/2020;1005;Tais Fernandes;Sudeste;SKU9006;E-Reader;R$250;43;R$10.750;Casas Bahia;Guarapari;ES
;10124;23/01/2020;1008;Teobaldo Junior;Sudeste;SKU9015;Teclado ;R$80;40;R$3.200;amazon;Betim;MINAS
;10125;23/01/2020;1003;Paulo Ferreira;Sudeste;SKU9015;Teclado ;R$80;6;R$480;Ricardo Eletro;Campinas;SP
;10126;23/01/2020;1001;Maria Silva;Sudeste;SKU9015;Teclado ;R$80;82;R$6.560;Shoptime;São Paulo;SP
;10127;23/01/2020;1005;Tais Fernandes;Sudeste;SKU9003;Celular Modelo 1;R$800;44;R$35.200;Ponto Frio;Guarapari;ES
;10128;23/01/2020;1001;Maria Silva;Sudeste;SKU9005;Celular Modelo 3;R$1.800;5;R$9.000;Magazine Luiza;São Paulo;SP
;10129;23/01/2020;1002;Lucas Souza;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;86;R$124.700;kabum;Guarapari;ES
;10130;23/01/2020;1009;Felipe Seixas;Sudeste;SKU9002;Carregador Portátil;R$80;89;R$7.120;Magazine Luiza;Rio de Janeiro;RJ
;10131;23/01/2020;1002;Lucas Souza;Sudeste;SKU9016;Webcam;R$130;32;R$4.160;Ricardo Eletro;Rio de Janeiro;RJ
;10132;23/01/2020;1009;Felipe Seixas;Sudeste;SKU9006;E-Reader;R$250;90;R$22.500;Carrefour;Betim;MINAS
;10133;23/01/2020;1006;Mário Junior;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;45;R$99.900;Carrefour;Rio de Janeiro;RJ
;10134;24/01/2020;1003;Paulo Ferreira;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;74;R$318.200;Magazine Luiza;Betim;MINAS
;10135;24/01/2020;1001;Maria Silva;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;15;R$33.300;Ponto Frio;Rio de Janeiro;RJ
;10136;24/01/2020;1002;Lucas Souza;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;97;R$417.100;amazon;Vitória;ES
;10137;24/01/2020;1008;Teobaldo Junior;Sudeste;SKU9007;Headphone;R$150;17;R$2.550;Ricardo Eletro;Niterói;RJ
;10138;24/01/2020;1005;Tais Fernandes;Sudeste;SKU9005;Celular Modelo 3;R$1.800;32;R$57.600;Ponto Frio;Niterói;RJ
;10139;24/01/2020;1004;Isabela Carolina;Sudeste;SKU9008;Mouse;R$88;74;R$6.512;Magazine Luiza;Guarapari;ES
;10140;24/01/2020;1003;Paulo Ferreira;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;11;R$47.300;Magazine Luiza;Betim;MINAS
;10141;24/01/2020;1004;Isabela Carolina;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;45;R$193.500;kabum;Vitória;ES
;10142;24/01/2020;1007;Alex Souza;Sudeste;SKU9013;SSD;R$435;32;R$13.920;Casas Bahia;Belo Horizonte;MINAS
;10143;25/01/2020;1004;Isabela Carolina;Sudeste;SKU9016;Webcam;R$130;60;R$7.800;Ricardo Eletro;São Paulo;SP
;10144;25/01/2020;1008;Teobaldo Junior;Sudeste;SKU9005;Celular Modelo 3;R$1.800;41;R$73.800;Ricardo Eletro;Guarapari;ES
;10145;25/01/2020;1003;Paulo Ferreira;Sudeste;SKU9012;Smart TV;R$1.998;16;R$31.968;Magazine Luiza;Belo Horizonte;MINAS
;10146;25/01/2020;1004;Isabela Carolina;Sudeste;SKU9006;E-Reader;R$250;41;R$10.250;Ponto Frio;Rio de Janeiro;RJ
;10147;25/01/2020;1009;Felipe Seixas;Sudeste;SKU9005;Celular Modelo 3;R$1.800;49;R$88.200;amazon;Rio de Janeiro;RJ
;10148;26/01/2020;1005;Tais Fernandes;Sudeste;SKU9005;Celular Modelo 3;R$1.800;43;R$77.400;amazon;Niterói;RJ
;10149;27/01/2020;1001;Maria Silva;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;26;R$111.800;Casas Bahia;Rio de Janeiro;RJ
;10150;27/01/2020;1005;Tais Fernandes;Sudeste;SKU9007;Headphone;R$150;66;R$9.900;amazon;São Paulo;SP
;10151;27/01/2020;1001;Maria Silva;Sudeste;SKU9005;Celular Modelo 3;R$1.800;13;R$23.400;amazon;Rio de Janeiro;RJ
;10152;27/01/2020;1005;Tais Fernandes;Sudeste;SKU9006;E-Reader;R$250;77;R$19.250;kabum;Rio de Janeiro;RJ
;10153;27/01/2020;1008;Teobaldo Junior;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;89;R$129.050;amazon;Rio de Janeiro;RJ
;10154;27/01/2020;1003;Paulo Ferreira;Sudeste;SKU9007;Headphone;R$150;74;R$11.100;kabum;Rio de Janeiro;RJ
;10155;28/01/2020;1009;Felipe Seixas;Sudeste;SKU9015;Teclado ;R$80;37;R$2.960;kabum;Betim;MINAS
;10156;28/01/2020;1002;Lucas Souza;Sudeste;SKU9015;Teclado ;R$80;96;R$7.680;Magazine Luiza;Vitória;ES
;10157;28/01/2020;1006;Mário Junior;Sudeste;SKU9003;Celular Modelo 1;R$800;64;R$51.200;Shoptime;São Paulo;SP
;10158;28/01/2020;1002;Lucas Souza;Sudeste;SKU9004;Celular Modelo 2;R$1.200;68;R$81.600;Casas Bahia;Guarapari;ES
;10159;28/01/2020;1009;Felipe Seixas;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;82;R$352.600;kabum;Betim;MINAS
;10160;29/01/2020;1002;Lucas Souza;Sudeste;SKU9003;Celular Modelo 1;R$800;20;R$16.000;kabum;Vitória;ES
;10161;29/01/2020;1008;Teobaldo Junior;Sudeste;SKU9007;Headphone;R$150;77;R$11.550;Ricardo Eletro;Niterói;RJ
;10162;29/01/2020;1009;Felipe Seixas;Sudeste;SKU9007;Headphone;R$150;17;R$2.550;Ponto Frio;Campinas;SP
;10163;29/01/2020;1004;Isabela Carolina;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;80;R$177.600;amazon;São Paulo;SP
;10164;29/01/2020;1003;Paulo Ferreira;Sudeste;SKU9014;Tablet;R$1.700;31;R$52.700;Casas Bahia;Guarapari;ES
;10165;29/01/2020;1005;Tais Fernandes;Sudeste;SKU9006;E-Reader;R$250;59;R$14.750;kabum;Rio de Janeiro;RJ
;10166;29/01/2020;1007;Alex Souza;Sudeste;SKU9013;SSD;R$435;72;R$31.320;Casas Bahia;Vitória;ES
;10167;30/01/2020;1005;Tais Fernandes;Sudeste;SKU9006;E-Reader;R$250;56;R$14.000;kabum;Rio de Janeiro;RJ
;10168;30/01/2020;1002;Lucas Souza;Sudeste;SKU9006;E-Reader;R$250;31;R$7.750;Casas Bahia;Belo Horizonte;MINAS
;10169;30/01/2020;1001;Maria Silva;Sudeste;SKU9015;Teclado ;R$80;38;R$3.040;Magazine Luiza;Betim;MINAS
;10170;30/01/2020;1004;Isabela Carolina;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;30;R$43.500;amazon;Vitória;ES
;10171;30/01/2020;1008;Teobaldo Junior;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;98;R$142.100;Ponto Frio;Betim;MINAS
;10172;31/01/2020;1008;Teobaldo Junior;Sudeste;SKU9003;Celular Modelo 1;R$800;69;R$55.200;Magazine Luiza;Vitória;ES
;10173;31/01/2020;1001;Maria Silva;Sudeste;SKU9014;Tablet;R$1.700;79;R$134.300;amazon;Betim;MINAS
;10174;31/01/2020;1001;Maria Silva;Sudeste;SKU9012;Smart TV;R$1.998;52;R$103.896;Carrefour;Guarapari;ES
;10175;31/01/2020;1009;Felipe Seixas;Sudeste;SKU9005;Celular Modelo 3;R$1.800;95;R$171.000;amazon;Niterói;RJ
;10176;31/01/2020;1001;Maria Silva;Sudeste;SKU9003;Celular Modelo 1;R$800;78;R$62.400;Magazine Luiza;Niterói;RJ
;10177;31/01/2020;1007;Alex Souza;Sudeste;SKU9013;SSD;R$435;67;R$29.145;Ricardo Eletro;Vitória;ES
;10178;01/02/2020;1003;Paulo Ferreira;Sudeste;SKU9016;Webcam;R$130;13;R$1.690;amazon;Rio de Janeiro;RJ
;10179;01/02/2020;1005;Tais Fernandes;Sudeste;SKU9016;Webcam;R$130;66;R$8.580;Ponto Frio;Belo Horizonte;MINAS
;10180;01/02/2020;1003;Paulo Ferreira;Sudeste;SKU9003;Celular Modelo 1;R$800;32;R$25.600;Magazine Luiza;Betim;MINAS
;10181;01/02/2020;1009;Felipe Seixas;Sudeste;SKU9001;Caixa de Som;R$55;96;R$5.280;amazon;Guarapari;ES
;10182;02/02/2020;1001;Maria Silva;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;51;R$113.220;Casas Bahia;Rio de Janeiro;RJ
;10183;02/02/2020;1006;Mário Junior;Sudeste;SKU9012;Smart TV;R$1.998;52;R$103.896;Magazine Luiza;Belo Horizonte;MINAS
;10184;02/02/2020;1007;Alex Souza;Sudeste;SKU9002;Carregador Portátil;R$80;11;R$880;Ponto Frio;Guarapari;ES
;10185;02/02/2020;1009;Felipe Seixas;Sudeste;SKU9004;Celular Modelo 2;R$1.200;26;R$31.200;Ricardo Eletro;Niterói;RJ
;10186;02/02/2020;1002;Lucas Souza;Sudeste;SKU9008;Mouse;R$88;21;R$1.848;amazon;Betim;MINAS
;10187;02/02/2020;1001;Maria Silva;Sudeste;SKU9001;Caixa de Som;R$55;72;R$3.960;Ricardo Eletro;São Paulo;SP
;10188;02/02/2020;1001;Maria Silva;Sudeste;SKU9001;Caixa de Som;R$55;31;R$1.705;Carrefour;São Paulo;SP
;10189;02/02/2020;1001;Maria Silva;Sudeste;SKU9003;Celular Modelo 1;R$800;85;R$68.000;Magazine Luiza;Niterói;RJ
